PackageID;Length;Width;Height;Weight;EntryDate;ClientID
107533;65;75;85;6.812;2-1-2021;267203
107539;25;85;35;5.588;2-1-2021;265397
107548;20;30;60;8.274;3-1-2021;265821
107555;75;25;20;9.646;4-1-2021;267352
107561;70;65;70;1.059;4-1-2021;265426
107566;85;35;50;0.134;5-1-2021;266167
107571;10;65;75;1.281;5-1-2021;265431
107574;30;60;85;5.611;6-1-2021;265305
107582;35;15;10;4.369;6-1-2021;266254
107583;85;85;75;6.630;7-1-2021;267173
107584;90;90;90;8.255;8-1-2021;267070
107591;25;70;65;3.276;9-1-2021;266742
107597;30;10;70;1.703;9-1-2021;267127
107602;50;35;15;1.578;9-1-2021;265754
107605;20;80;55;2.611;9-1-2021;265502
107608;65;40;30;2.563;10-1-2021;264977
107613;85;85;40;6.380;11-1-2021;267486
107621;55;30;90;1.093;11-1-2021;266015
107623;20;90;40;9.805;11-1-2021;267197
107628;60;60;35;2.601;11-1-2021;266147
107638;80;15;30;4.491;12-1-2021;266294
107644;40;20;80;4.159;12-1-2021;265433
107652;20;30;15;6.907;13-1-2021;264867
107655;30;30;75;7.342;13-1-2021;266726
107660;80;95;35;1.967;13-1-2021;266102
107668;60;45;50;1.572;14-1-2021;266178
107672;20;90;70;3.156;15-1-2021;265720
107680;50;80;80;3.671;16-1-2021;266234
107689;60;30;55;4.457;16-1-2021;266690
107699;15;10;95;3.349;17-1-2021;266147
107706;35;30;65;2.047;18-1-2021;267306
107714;55;95;85;6.440;19-1-2021;266186
107723;55;90;25;8.989;20-1-2021;266004
107731;35;15;50;6.704;20-1-2021;267465
107740;65;70;70;6.344;20-1-2021;264973
107747;50;15;25;5.790;21-1-2021;265896
107756;60;95;50;4.853;22-1-2021;266769
107761;15;60;40;1.248;22-1-2021;265985
107765;90;85;75;9.288;22-1-2021;266891
107773;30;70;90;3.948;23-1-2021;266316
107783;40;80;80;9.984;24-1-2021;267117
107793;60;35;50;3.359;24-1-2021;265102
107802;15;75;35;8.805;25-1-2021;266286
107806;80;40;55;0.492;25-1-2021;264964
107810;75;70;30;4.490;25-1-2021;266553
107811;70;70;10;8.155;26-1-2021;265582
107820;15;15;20;9.096;27-1-2021;264864
107821;10;65;35;1.780;28-1-2021;266117
107829;80;80;75;9.020;28-1-2021;266059
107835;15;65;50;3.020;29-1-2021;266063
107838;75;45;55;2.149;30-1-2021;265813
107839;50;70;65;5.602;30-1-2021;265201
107844;60;45;95;7.066;31-1-2021;266836
107851;25;50;10;8.709;31-1-2021;267239
107853;95;80;85;3.784;1-2-2021;267061
107862;45;30;90;0.752;1-2-2021;267390
107868;95;10;10;4.509;2-2-2021;266993
107876;30;65;45;2.773;2-2-2021;265624
107878;70;35;95;7.269;2-2-2021;266294
107879;80;85;75;1.592;2-2-2021;264921
107880;85;75;45;0.006;3-2-2021;266545
107889;45;70;20;0.118;3-2-2021;265431
107898;60;75;55;6.661;4-2-2021;266863
107906;30;10;10;4.107;4-2-2021;266916
107910;40;75;45;6.954;4-2-2021;266353
107920;75;80;95;9.187;4-2-2021;267127
107924;90;75;25;0.147;5-2-2021;266977
107933;60;40;40;5.478;6-2-2021;267530
107941;90;65;60;3.476;6-2-2021;265358
107949;55;15;15;1.437;6-2-2021;267061
107957;75;85;70;6.079;6-2-2021;265253
107966;85;45;20;8.001;7-2-2021;265315
107976;55;90;90;5.480;8-2-2021;266304
107984;75;35;45;0.926;8-2-2021;266789
